"FID_site","Area_ha","BASIN_NAME","abate_yr1","abate_yr2","abate_yr3","abate_yr4","abate_yr5","abate_yr6","abate_yr7","abate_yr8","abate_yr9","abate_yr10","abate_yr11","abate_yr12","abate_yr13","abate_yr14","abate_yr15","abate_yr16","abate_yr17","abate_yr18","abate_yr19","abate_yr20","abate_yr21","abate_yr22","abate_yr23","abate_yr24","abate_yr25","abate_CO2eMg_25yrs","FGM_yr","rate_scale","maint_cost_scale","rest_low_cost_scale","rest_high_cost_scale","DCF_25_4_CPlow","NPV_25_4_CPlow_RClow","NPV_25_4_CPlow_RChigh","DCF_25_7_CPlow","NPV_25_7_CPlow_RClow","DCF_25_4_CPhigh","NPV_25_4_CPhigh_RClow","DCF_25_4_CPlow_upperCI","NPV_25_4_CPlow_RClow_upperCI","DCF_25_4_CPlow_lowerCI","NPV_25_4_CPlow_RClow_lowerCI"
10,1.3496811011,"Fitzroy",21.385054289986,21.3855055669549,21.4472590518147,22.0606808968269,23.8900072059219,26.8410801538643,30.2875728636193,33.644817188723,36.56943855638,38.926995404054,40.7105679341787,41.9759771109867,42.8022599956467,43.270823525542,43.4558759044018,43.4209764933413,43.2186290789427,42.8912294765468,42.4724941268369,41.9889466101892,41.4612767472978,40.9055072386971,40.3339603160573,39.756041842797,39.178868963706,904.281846543313,233.460694204866,0,1012.260825825,12494.2149757283,103781.208118149,34747.0302530549,22252.8152773266,-69034.1778650937,22288.7382958562,9794.52332012786,93696.3852345128,81202.1702587844,39671.320849754,27177.1058740257,30009.279898537,17515.0649228086
11,3.89310953029,"Fitzroy",10.4737047243114,10.4749891092784,10.6507464669403,12.3966139731403,17.6030822253788,26.0021674717412,35.8112730346457,45.3663676652523,53.6901687415392,60.400040468216,65.4762883237739,69.0777850454833,71.4294789914795,72.7630634539279,73.2897433200318,73.1904156742176,72.6145121933838,71.6826961323589,70.4909282703238,69.1146976977036,67.6128899692802,66.0311074913782,64.404420720082,62.759599799696,61.1169009241043,1313.92368188767,113.340106374682,0,2919.8321477175,36039.1409169596,299353.388041431,47586.5449544231,11547.4040374635,-251766.843087008,27002.2747746205,-9036.86614233912,132131.092748575,96091.9518316156,64709.5411538382,28670.4002368786,33615.1391460573,-2424.00177090228
12,922.094862084,"Waterpark",12461.0410760114,7858.69713367765,7858.69726645413,7858.69858537551,7858.70251861919,7858.70886373594,7858.71627405721,7858.72349248508,7858.72978072816,7858.73484972296,7858.73868459121,7858.74140535383,7858.74318194881,7858.7441894096,7858.74458729165,7858.74451225425,7858.74407718606,7858.74337324253,7858.74247291756,7858.74143323961,7858.740298694,7858.73910373119,7858.73787484528,7858.73663225987,7858.73539127757,201070.56705911,129587.940207902,-0.375,432231.966601875,5334987.7544696,44314226.6664983,5173210.03887046,-161777.715599146,-39141016.6276279,3301459.38573165,-2033528.36873795,18495517.344571,13160529.5901014,8354563.61462572,3019575.86015611,4413288.5459669,-921699.208502702
13,1.28311336233,"Waterpark",31.3151932532677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,24.9109346212677,629.177624163692,241.700756221923,0,962.3350217475,11877.9867141318,98662.6061420126,21638.9795462647,9760.99283213283,-77023.6265957479,14473.1444517841,2595.15773765221,63260.8476919805,51382.8609778486,26065.85965506,14187.8729409281,20581.5509761728,8703.56426204091
14,1.15598381516,"Calliope",22.4562460284038,16.9800199798489,16.9825881479886,17.0080987801761,17.0841757425499,17.2069032540424,17.3502339954733,17.4898531268064,17.6114805853078,17.709525293189,17.7836994739191,17.8363245774083,17.870687551151,17.8901738996807,17.8978697507674,17.8964183742858,17.8880032672844,17.8743875623613,17.8569734393117,17.8368639454247,17.8149195169729,17.7918064967402,17.7680373345561,17.7440031960174,17.7200000648168,445.349293384484,217.752007156672,0,866.98786137,10701.1280541014,88887.216991151,13367.6975131904,2666.56945908901,-75519.5194779606,8632.80000193145,-2068.32805216994,42803.4209887345,32102.2929346331,17518.7948540514,6817.66679995005,12241.2394446165,1540.1113905151
15,2.8554301855,"Calliope",55.32771970674,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,41.07569749074,1041.1444594845,537.880298913394,0,2141.572639125,26433.1763679171,219562.972398961,30127.6643635351,3694.48799561796,-189435.308035426,19420.616826956,-7012.55954096113,99032.2189461862,72599.0425782691,39979.2330279967,13546.0566600795,27774.465291049,1341.28892313191
16,2.06772069045,"Calliope",33.8802229521037,33.6872775077005,33.7712013415219,34.6048500513882,37.0909296227334,41.1014782782429,45.7853091923409,50.3478503262866,54.3224509209987,57.5264030470614,59.9503026045707,61.6700110503599,62.7929408357636,63.4297251064313,63.6812138301351,63.6337850513229,63.358792136855,62.9138515818887,62.3447844922512,61.6876367778518,60.9705261890921,60.2152277959956,59.4384876805904,58.6530885404085,57.8687026729399,1344.72704958684,389.498552466425,0,1550.7905178375,19141.2229119815,158993.521603659,50596.8499417782,31455.6270297967,-108396.671661881,32511.0240116698,13369.8010996883,138361.971458666,119220.748546684,69111.8584734984,49970.6355615169,42293.7009422993,23152.4780303178
17,122.18136658,"Calliope",1957.76243024824,1957.79936224599,1962.85319774233,2013.05494913478,2162.76494940879,2404.27742842829,2686.33450154669,2961.08758760485,3200.43529915114,3393.37509045929,3539.34065310721,3642.90031179949,3710.52237040863,3748.86908080155,3764.01355860853,3761.15743020024,3744.59754620664,3717.80353230069,3683.5347039303,3643.96172097482,3600.77781500611,3555.29426575017,3508.51951073812,3461.22331521521,3413.98813827752,79196.2487492956,23015.4308868535,-0.375,57272.515584375,706907.84791433,5871817.52733312,3142311.09921596,2435403.25130163,-2729506.42811716,2061735.52749897,1354827.67958464,8309616.01164487,7602708.16373054,4249215.09052879,3542307.24261446,2644225.7395105,1937317.89159617
18,19.3187372443,"Calliope",309.552130343062,309.557969855765,310.357058407125,318.294721757073,341.966158496518,380.152968719165,424.750498283085,468.193155979224,506.03768341379,536.544410126188,559.623794108778,575.998157244212,586.690237129506,592.753437500694,595.14801066016,594.696413152894,592.078042665622,587.841499989718,582.423075025321,576.165982239888,569.337947396326,562.146303839272,554.750500938702,547.272250332278,539.803647695777,12522.1360553001,3639.0910111017,-0.166666667,12074.2107728578,149030.547473168,1237898.52290202,482197.027111211,333166.479638043,-755701.495790811,312553.808778012,163523.261304844,1299226.82554887,1150196.2780757,657215.447784794,508184.900311626,403442.127227896,254411.579754728
19,72.5553139787,"Calliope",1162.58362492591,1162.60555635904,1165.60668984712,1195.41813847322,1284.32085318318,1427.73889460903,1595.23364751447,1758.39105303715,1900.52358444544,2015.09756875825,2101.77671343672,2163.27383971639,2203.43003885889,2226.20157481433,2235.19486308792,2233.49880024248,2223.66499729265,2207.7538319072,2187.40387621633,2163.90413934188,2138.26011779775,2111.2504925483,2083.47410691706,2055.38807278611,2027.33827349495,47029.3333496118,13667.3186982535,-0.3125,37411.3337702672,461763.643054634,3835566.20678794,1849500.84511416,1387737.20205953,-1986065.36167378,1209185.46922998,747421.826175345,4918016.19885264,4456252.55579801,2506816.78640651,2045053.14335188,1553721.40116218,1091957.75810755
20,2.19896320719,"Curtis Island",5.47814595524703,5.47888119619554,5.57949278047287,6.57890753086408,9.55932909793732,14.3673512732733,19.9825338417657,25.4523088855762,30.2172349440663,34.0582737130791,36.9641511439094,39.0258132885909,40.3720309194752,41.1354359189556,41.4369316653677,41.3800719586627,41.0503983542781,40.5169840414894,39.8347613778965,39.0469437861654,38.1872400625393,37.2817551189731,36.3505648953585,35.4089938518812,34.4686375643123,739.213173166333,202.88831340876,0,1649.2224053925,20356.1559926691,169085.169869789,23659.6225868811,3303.46659421201,-145425.547282908,12939.520191448,-7416.63580122106,71202.05817352,50845.9021808509,31682.5006398399,11326.3446471709,15940.6643748821,-4415.49161778695
21,1.15856364013,"Styx",2.64198958462412,2.64237530333115,2.69515768749881,3.21946603307222,4.78304101566259,7.30540337947995,10.2512144968629,13.1207425909364,15.6204960691882,17.6355640692114,19.1600320516995,20.2416117139831,20.9478581832836,21.3483521845212,21.5065214890436,21.4766920126018,21.3037401705098,21.0239028199664,20.665998320437,20.2526970979241,19.8016833052607,19.3266519806609,18.8381352708902,18.3441726233985,17.8508472555352,382.004346709583,102.135225876821,0,868.9227300975,10725.0099086733,89085.5878151196,12197.7914204435,1472.78151177016,-76887.7963946761,6632.430765868,-4092.57914280531,36756.1968484194,26031.1869397461,16703.9921230133,5978.98221434,8101.70255191624,-2623.30735675706
22,1.22514840829,"Styx",6.89641152806011,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,0.781442848060108,25.6510398815027,91.1606224015363,0,918.8613062175,11341.3958140713,94205.4992344021,-5141.21181799002,-16482.6076320613,-99346.7110523921,-4483.73602041495,-15825.1318344862,-3396.39217176938,-14737.7879858407,-914.30051241955,-12255.6963264908,-6150.87475620118,-17492.2705702725
23,2.36981610497,"Styx",11.1489833281242,2.16759114989312,2.19118234499088,2.42552303775912,3.12436609015149,4.25174113336779,5.56837746738785,6.85091894734024,7.96818890268054,8.86882768725701,9.55019178556935,10.0336060388107,10.349264349952,10.5282659670194,10.5989600627921,10.5856277169821,10.5083265356571,10.3832526566269,10.2232865048906,10.0385606739491,9.83697913226069,9.62466290530541,9.40631935772875,9.18554173709366,8.96504894989834,204.383594463488,176.332911218715,0,1777.3620787275,21937.7687398207,182222.584424711,-2422.27622397582,-24360.0449637965,-184644.860648687,-3889.96362701116,-25827.7323668319,10850.6653173738,-11087.1034224469,8953.14495343689,-12984.6237863838,-6230.30411822421,-28168.0728580449
24,2.37561080921,"Styx",13.1240663133601,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,1.26692168136007,43.5301866660017,176.76373193757,0,1781.7081069075,21991.4112487336,182668.157387261,-10280.7354213672,-32272.1466701009,-192948.892808628,-8915.2611025643,-30906.6723512979,-7307.63337565607,-29299.0446243897,-2084.60207718386,-24076.0133259175,-12238.5082431799,-34229.9194919136
25,1.01311157711,"Styx",5.50750439252038,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,0.450869760520375,16.3283786450094,75.3832087182961,0,759.8336828325,9378.53677323861,77901.3230201321,-4496.61647465087,-13875.1532478895,-82397.939494783,-3881.6637588227,-13260.2005320613,-3376.40568370963,-12754.9424569482,-1001.26805789659,-10379.8048311352,-5331.5343372237,-14710.0711104623
26,1.02081681058,"Shoalwater",7.4016632046075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,2.3065464206075,62.7587772991876,75.9568922662011,0,765.612607935,9449.8653584384,78493.8025604452,-2205.65885449642,-11655.5242129348,-80699.4614149416,-2261.84035833831,-11711.7057167767,1982.49872312249,-7467.36663531591,1316.28996724169,-8133.57539119671,-3046.93063393952,-12496.7959923779
