"","FID_site","abate_yr1","abate_yr2","abate_yr3","abate_yr4","abate_yr5","abate_yr6","abate_yr7","abate_yr8","abate_yr9","abate_yr10","abate_yr11","abate_yr12","abate_yr13","abate_yr14","abate_yr15","abate_yr16","abate_yr17","abate_yr18","abate_yr19","abate_yr20","abate_yr21","abate_yr22","abate_yr23","abate_yr24","abate_yr25","abate_yr26","abate_yr27","abate_yr28","abate_yr29","abate_yr30","abate_yr31","abate_yr32","abate_yr33","abate_yr34","abate_yr35","abate_yr36","abate_yr37","abate_yr38","abate_yr39","abate_yr40","abate_yr41","abate_yr42","abate_yr43","abate_yr44","abate_yr45","abate_yr46","abate_yr47","abate_yr48","abate_yr49","abate_yr50","abate_yr51","abate_yr52","abate_yr53","abate_yr54","abate_yr55","abate_yr56","abate_yr57","abate_yr58","abate_yr59","abate_yr60","abate_yr61","abate_yr62","abate_yr63","abate_yr64","abate_yr65","abate_yr66","abate_yr67","abate_yr68","abate_yr69","abate_yr70","abate_yr71","abate_yr72","abate_yr73","abate_yr74","abate_yr75","abate_yr76","abate_yr77","abate_yr78","abate_yr79","abate_yr80","abate_yr81","abate_yr82","abate_yr83","abate_yr84","abate_yr85","abate_yr86","abate_yr87","abate_yr88","abate_yr89","abate_yr90","abate_yr91","abate_yr92","abate_yr93","abate_yr94","abate_yr95","abate_yr96","abate_yr97","abate_yr98","abate_yr99","abate_yr100","abate_CO2eMg_25yrs_lower","abate_CO2eMg_100yrs_lower"
"0",0,5.17255298698457,5.17288368976752,5.21813760412733,5.66766267471424,7.0082214515313,9.17081361550061,11.6964570878147,14.1566979554835,16.2999059899314,18.0275603227214,19.3345900185505,20.2619015483748,20.8674145001416,21.2107851439544,21.3463944059095,21.3208195745793,21.172536241535,20.9326127197794,20.6257569415476,20.2714057991476,19.8847211150406,19.477444573432,19.0586060973776,18.6350984499108,18.21213718545,17.793625751331,17.3824437661069,16.9806738895435,16.5897800098627,16.2107470331067,15.8441904777766,15.4904423635093,15.1496185003092,14.8216711851321,14.5064304449788,14.2036362846703,13.912963864609,13.6340431175102,13.3664739879861,13.1098382249247,12.8637084581106,12.6276551351883,12.4012517733225,12.1840788843643,11.9757268571938,11.7757980217502,11.5839080725833,11.399686992874,11.2227795906849,11.0528457360514,10.8895603691696,10.7326133353232,10.5817090905872,10.4365663130879,10.2969174472262,10.1625082023929,10.0330970230137,9.90845454301914,9.78836303485332,9.67261586076085,9.56101693219271,9.45338018167956,9.34952905031878,9.24929599308923,9.1525220034581,9.0590561581729,8.96875518266805,8.88148303717775,8.7971105233737,8.71551491114405,8.63657958499094,8.56019370940417,8.48625191250773,8.41465398721739,8.34530460913237,8.27811307035795,8.21299302847314,8.14986226985485,8.08864248659286,8.02925906625581,7.97164089378487,7.91572016483113,7.86143220987318,7.80871532849194,7.75751063320012,7.70776190226575,7.6594154409888,7.61241995092899,7.56672640660626,7.5222879392218,7.47905972697958,7.43699889160786,7.39606440070787,7.35621697557632,7.31741900417532,7.27963445893415,7.24282881909997,7.20696899735856,7.17202327047295,7.1379612137007,400.203117693307,1175.58786566309
"1",1,13.2958245422549,7.85653443920807,7.97586130918123,9.16118241137611,12.6960077434075,18.3983952076868,25.0580871809198,31.5453236171938,37.1965984310944,41.7521288607558,45.1985437128547,47.6437063890418,49.2403409848483,50.1457509310703,50.5033294742171,50.435892996823,50.0448950853345,49.4122575933286,48.6031311328318,47.6687674807107,46.649145782261,45.5752268603033,44.4708210850476,43.3541034994681,42.2388266328811,41.1352832115466,40.0510662994795,38.9916675160144,37.9609468852396,36.9615014367577,35.994954188095,35.0621806185247,34.1634860993178,33.2987448456652,32.4675086676977,31.6690920023792,30.9026383029785,30.1671717650509,29.4616375106283,28.7849326827142,28.1359303787889,27.5134979424007,26.9165108108998,26.3438628654346,25.7944740311971,25.2672957199204,24.7613145835407,24.2755549506834,23.8090802406624,23.360993588651,22.9304378672718,22.5165952513257,22.118686441784,21.7359696407468,21.3677393496367,21.0133250473976,20.672089793093,20.3434287874352,20.0267679199168,19.7215623219462,19.427294941394,19.1434751500121,18.8696373920245,18.6053398797265,18.350163339954,18.1037098137772,17.8656015105519,17.6354797165696,17.4130037578281,17.197850015911,16.9897109955984,16.788294442514,16.593322508955,16.4045309658956,16.2216684591149,16.0444958073332,15.8727853402816,15.7063202746288,15.5448941257435,15.3883101533432,15.2363808391216,15.0889273945508,14.9457792971095,14.8067738532941,14.6717557868232,14.5405768505584,14.4130954607147,14.2891763520359,14.1686902526754,14.0515135775875,13.9375281393249,13.8266208751829,13.7186835897096,13.6136127116496,13.5113090644605,13.4116776495703,13.3146274416291,13.2200711950208,13.1279252609687,13.0381094146054,916.1206833841,2526.91733654667
"2",2,6.99612033211126,6.82223946227633,6.90571480692924,7.73490849609862,10.2077024522756,14.1968187261894,18.8556192366934,23.39377813992,27.3471384595593,30.5339686578065,32.9449148902901,34.6554332100368,35.7723620559848,36.4057433499889,36.6558881173524,36.6087127980474,36.3351894463714,35.8926266547938,35.3266006610428,34.6729647455989,33.9596863975386,33.2084243208591,32.4358351064862,31.6546331411856,30.8744390336665,30.1024530806614,29.3439870249133,28.6028825394398,27.8818399116215,27.1826758985825,26.5065258853996,25.8540023153058,25.2253188113695,24.6203873805822,24.0388944908466,23.4803605552035,22.9441863747162,22.4296893234821,21.9361314595609,21.4627412771893,21.0087304495118,20.5733066244978,20.1556831121523,19.755086124875,19.370760094227,19.0019714782408,18.6480113873019,18.3081972885967,17.9818739952796,17.6684141038114,17.3672180090636,17.0777135998225,16.7993557159328,16.5316254312263,16.2740292127973,16.026097996333,15.7873862085588,15.5574707609531,15.3359500333908,15.1224428619857,14.9165875419122,14.718040853222,14.5264771154644,14.3415872751882,14.163078029034,13.9906709840562,13.8241018560724,13.6631197062086,13.5074862153016,13.3569749954569,13.211370937794,13.0704695951936,12.9340765987533,12.8020071065427,12.6740852832263,12.5501438090732,12.4300234169028,12.3135724555127,12.2006464781765,12.0911078548457,11.9848254067233,11.8816740619459,11.7815345311512,11.6842930017811,11.5898408500106,11.4980743692643,11.4088945143293,11.3222066601323,11.2379203743001,11.1559492026735,11.0762104669929,10.9986250740227,10.9231173354236,10.8496147977218,10.7780480817736,10.7083507311426,10.6404590688678,10.5743120621081,10.5098511941991,10.4470203436775,670.397462699103,1896.69731375271
"3",3,11.0624454389648,11.0635094323878,11.2091080476091,12.6553968098209,16.9684712540638,23.9263317798682,32.0522629244699,39.9677696493738,46.8632642460534,52.4217685653749,56.6269675289981,59.610472415396,61.5586320060737,62.6633826327106,63.0996878900823,63.0174041787422,62.5403217372106,61.7683988434499,60.7811300731075,59.6410511127486,58.3969431647466,57.0865835790799,55.7390249650331,54.3764438959901,53.0156207435863,51.6691143446592,50.3461894993839,49.0535468961355,47.7958964058936,46.5764068364373,45.3970585389176,44.2589197435654,43.1623630540881,42.1072349921117,41.0929886914999,40.1187876513982,39.1835867424239,38.2861953209621,37.4253262605553,36.599633892357,35.8077432079858,35.0482721783066,34.3198486499682,33.6211229741185,32.9507772799678,32.3075321155397,31.6901510277637,31.0974435353915,30.5282668543132,29.9815266603682,29.456177115689,28.9512203375983,28.4657054517505,27.9987273414099,27.5494251810481,27.1169808235265,26.7006170950335,26.2995960399119,25.9132171479171,25.5408155888023,25.1817604730282,24.8354531525824,24.5013255720361,24.1788386769583,23.8674808843992,23.5667666183181,23.2762349113347,22.9954480731013,22.7239904247103,22.4614670979035,22.2075028974024,21.9617412242913,21.7238430581902,21.493485995769,21.2703633430996,21.0541832592652,20.8446679486958,20.6415528996945,20.4445861666906,20.2535276938383,20.0681486776355,19.888230966361,19.7135664941957,19.5439567480229,19.3792122649703,19.2191521588882,19.0636036740256,18.912401764287,18.7653886965324,18.6224136764647,18.4833324957537,18.3480071991069,18.2163057700893,18.0881018345544,17.963274380636,17.8417074942858,17.7232901094475,17.6079157719677,17.4954824164354,17.3858921551776,1148.11239291494,3224.34441351189
"4",4,677.366645479449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,540.004268477449,13637.4690889382,54137.7892247469
"5",5,160.901440859836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,128.265056433836,3239.26279527189,12859.1420278096
"6",6,16.111784472415,12.6965721016094,12.7513239774837,13.2951960649117,14.9171133904915,17.5335937414934,20.5893231707617,23.5659231956005,26.1589510460066,28.2492081413488,29.8305592505824,30.9524963580348,31.6850953043229,32.1005331097564,32.2646042532808,32.2336617368089,32.0542564685592,31.7639774271035,31.392718283696,30.9639953756546,30.4961527121806,30.0033963403148,29.4966513973254,28.9842573100084,28.4725242814075,27.9661750204206,27.4686935243949,26.982599564948,26.5096642734253,26.0510792694718,25.6075892575631,25.1795959421312,24.7672394395631,24.3704620348259,23.9890580807246,23.62271301389,23.2710338168875,22.9335727521386,22.6098458000121,22.2993469262059,22.001559063383,21.7159625040756,21.4420412545713,21.1792877839001,20.9272065111268,20.6853163025833,20.4531521941975,20.2302665094483,20.0162295081651,19.8106296733805,19.6130737212364,19.423186401265,19.2406101403256,19.0650045722745,18.8960459865297,18.733426721576,18.5768545237816,18.4260518873717,18.2807553877944,18.1407150178427,18.0056935335997,17.8754658154679,17.7498182480893,17.6285481218346,17.5114630576341,17.3983804562297,17.2891269723684,17.1835380140481,17.0814572665956,16.9827362411134,16.8872338466626,16.7948159854048,16.7053551698518,16.6187301613015,16.5348256285205,16.4535318257009,16.374744288741,16.2983635488952,16.2242948628682,16.152447958456,16.0827367948614,16.0150793368539,15.9493973419729,15.88561616002,15.8236645441109,15.7634744726098,15.7049809812899,15.648122005115,15.5928382290615,15.5390729474345,15.4867719311702,15.435883302639,15.3863574174987,15.338146753171,15.2912058035455,15.2454909795291,15.2009605151001,15.1575743785274,15.1152941884523,15.0740831345401,648.563868911158,2069.53723551348
"7",7,34.6406782086217,34.6413099354684,34.7277564792927,35.5864642676542,38.1472741929075,42.2783780083752,47.1030026226794,51.8026915444878,55.8967667177734,59.1970281008065,61.6937889109718,63.4651909639383,64.6218754775674,65.277801176554,65.5368495301035,65.4879950650554,65.2047359960938,64.7464207424558,64.1602477703292,63.4833465123051,62.7446799248126,61.9666776259872,61.1665890770131,60.3575812171499,59.5496170884895,58.7501532732075,57.9646905788023,57.1972074177773,56.4505001908223,55.7264503202306,55.0262336036723,54.3504842835223,53.6994235864911,53.0729603875706,52.4707699948856,51.8923557511866,51.3370971298095,50.8042872076473,50.2931617766509,49.8029218702865,49.3327511022025,48.8818289176015,48.4493406252543,48.0344848955709,47.6364792666109,47.2545640869095,46.8880052348241,46.5360958836502,46.1981575259958,45.8735404266879,45.5616236384123,45.2618146863817,44.9735490061552,44.696289201045,44.4295241714667,44.1727681573572,43.9255597258256,43.6874607290505,43.4580552517466,43.2369485629822,43.0237660835064,42.8181523768918,42.619770170504,42.4282994105263,42.2434363538372,42.0648926984469,41.8923947533125,41.725682647708,41.5645095798019,41.4086411037095,41.2578544540216,41.1119379065829,40.9706901741761,40.8339198356562,40.7014447970518,40.5730917830981,40.4486958577009,40.3280999718254,40.2111545373466,40.097717025449,39.9876515881924,39.8808287019389,39.7771248313722,39.6764221129207,39.5786080564314,39.4835752640252,39.3912211651003,39.3014477665231,39.2141614170954,39.1292725854312,39.0466956504432,38.9663487036722,38.8881533627482,38.8120345953078,38.7379205527447,38.6657424131897,38.5954342331811,38.5269328074911,38.4601775366283,38.3951103015578,1383.48474715689,4721.65130079233
"8",8,8.07069971885875,8.07115871329176,8.13396826868049,8.75788048089627,10.6184908156151,13.6200312177577,17.1254637490789,20.5401216241709,23.5147580871944,25.9126324378015,27.7267065402575,29.0137559749654,29.85416944683,30.3307460651518,30.5189630972138,30.4834668576572,30.2776590208805,29.9446604296658,29.5187641227527,29.026947270653,28.4902535187869,27.9249795781658,27.3436584077693,26.7558567243697,26.1688133858373,25.5879461288501,25.0172516808419,24.4596206411291,23.9170847934737,23.391011124831,22.8822539357388,22.3912740483401,21.9182321995564,21.4630621805956,21.0255280797439,20.6052690402259,20.2018342053372,19.8147099452195,19.4433410084346,19.0871468890359,18.7455344243415,18.4179074229975,18.103673953949,17.8022517943212,17.5130724299269,17.2355839200103,16.9692528730446,16.713565729215,16.4680295046991,16.2321721207353,16.0055424149869,15.7877099124304,15.578264416892,15.3768154715007,15.1829917260987,14.9964402414914,14.8168257539023,14.6438299178126,14.4771505412202,14.316500824061,14.1616086078984,14.0122156429172,13.868076876588,13.728959767076,13.594643623425,13.4649189737578,13.3395869620884,13.2184587738728,13.1013550900472,12.9881055690209,12.8785483558985,12.7725296180399,12.6699031059821,12.5705297386644,12.4742772118803,12.38101962884,12.290637151754,12.2030156733413,12.1180465072022,12.0356260960268,11.9556557366357,11.8780413209042,11.8026930916491,11.7295254126124,11.6584565517062,11.589408476742,11.5223066628905,11.4570799111787,11.393660177358,11.3319824105159,11.27198440085,11.2136066360455,11.1567921657425,11.1014864735984,11.0476373564965,10.9951948104596,10.944110922878,10.8943397706637,10.8458373239809,10.7985613552221,577.744605554302,1720.79371079174
"9",9,4.8768862012532,0.0903775595859106,0.102537080418297,0.223322421041475,0.583524463325417,1.16460313556277,1.8432320420615,2.5042875663473,3.0801578112018,3.54437066765649,3.8955635984739,4.14472798622963,4.30742656060592,4.39968868987666,4.43612628138967,4.42925444060543,4.389411383872,4.32494502549753,4.24249427442478,4.14728173515726,4.04338132038697,3.93394796722203,3.8214079748913,3.70761339745203,3.5939656306398,3.4815135129887,3.37103078489845,3.26307704756966,3.15804564110525,3.05620120527631,2.95770912710277,2.86265861875005,2.77108079783925,2.68296284677946,2.5982590945994,2.51689968177773,2.43879732539295,2.3638525900499,2.29195798268659,2.2230011211327,2.15686717295639,2.09344071939468,2.03260716645071,1.97425379956802,1.91827055810284,1.8645505899197,1.81299063389314,1.76349126818792,1.71595705434691,1.67029660099662,1.62642256604715,1.58425161233774,1.54370432856083,1.5047051248093,1.46718211011129,1.43106695773748,1.39629476280439,1.36280389569301,1.33053585399998,1.29943511510086,1.26944899089497,1.24052748590009,1.21262315954263,1.18569099323795,1.15968826265431,1.13457441540066,1.11031095425328,1.08686132594624,1.06419081547671,1.04226644582221,1.02105688292918,1.00053234580047,0.980664521492546,0.961426484817939,0.942792622543988,0.924738561872206,0.907241102987026,0.890278155462088,0.873828678318303,0.857872623534942,0.842390882819345,0.827365237451546,0.81277831102546,0.798613524919289,0.784855056333203,0.77148779874369,0.758497324629229,0.745869850332374,0.733592202929762,0.721651788988453,0.710036565095843,0.698735010055464,0.687736098648506,0.677029276866159,0.666604438525018,0.6564519031808,0.646562395264321,0.636927024364835,0.627537266592944,0.618384946958823,79.8305352151791,190.70643221676
