"","FID_site","abate_yr1","abate_yr2","abate_yr3","abate_yr4","abate_yr5","abate_yr6","abate_yr7","abate_yr8","abate_yr9","abate_yr10","abate_yr11","abate_yr12","abate_yr13","abate_yr14","abate_yr15","abate_yr16","abate_yr17","abate_yr18","abate_yr19","abate_yr20","abate_yr21","abate_yr22","abate_yr23","abate_yr24","abate_yr25","abate_yr26","abate_yr27","abate_yr28","abate_yr29","abate_yr30","abate_yr31","abate_yr32","abate_yr33","abate_yr34","abate_yr35","abate_yr36","abate_yr37","abate_yr38","abate_yr39","abate_yr40","abate_yr41","abate_yr42","abate_yr43","abate_yr44","abate_yr45","abate_yr46","abate_yr47","abate_yr48","abate_yr49","abate_yr50","abate_yr51","abate_yr52","abate_yr53","abate_yr54","abate_yr55","abate_yr56","abate_yr57","abate_yr58","abate_yr59","abate_yr60","abate_yr61","abate_yr62","abate_yr63","abate_yr64","abate_yr65","abate_yr66","abate_yr67","abate_yr68","abate_yr69","abate_yr70","abate_yr71","abate_yr72","abate_yr73","abate_yr74","abate_yr75","abate_yr76","abate_yr77","abate_yr78","abate_yr79","abate_yr80","abate_yr81","abate_yr82","abate_yr83","abate_yr84","abate_yr85","abate_yr86","abate_yr87","abate_yr88","abate_yr89","abate_yr90","abate_yr91","abate_yr92","abate_yr93","abate_yr94","abate_yr95","abate_yr96","abate_yr97","abate_yr98","abate_yr99","abate_yr100","abate_CO2eMg_25yrs","abate_CO2eMg_100yrs"
"0",0,5.64348738702132,5.64391643583763,5.70262818363872,6.28583524866127,8.02505604161266,10.8307705863934,14.1075024377638,17.2993819336244,20.0799478003316,22.3213805450825,24.0171012126896,25.2201812432747,26.0057646390394,26.451248547493,26.6271859641791,26.5940055626966,26.4016249968171,26.0903518285146,25.6922417574254,25.2325119152685,24.7308330224478,24.202438563438,23.6590438245877,23.1095913729787,22.5608477904632,22.0178773509007,21.4844160280882,20.9631658334792,20.4560259936339,19.9642743108368,19.4887093495328,19.0297618670047,18.5875821134105,18.1621081995379,17.7531196049745,17.3602790158859,16.983164990264,16.6212974083803,16.2741572443921,15.9412018655975,15.6218768083079,15.3156247777579,15.0218924615323,14.7401356220164,14.4698228359042,14.2104381720406,13.961483038315,13.7224773804721,13.4929603778347,13.2724907509029,13.0606467719766,12.857026050992,12.6612451537062,12.4729390973521,12.2917607593193,12.1173802267969,11.9494841092161,11.787774830488,11.631969914157,11.4818012715069,11.3370145002044,11.197368199113,11.0626333033681,10.9325924425797,10.8070393240638,10.6857781422626,10.5686230149098,10.4553974460598,10.3459338157443,10.2400728957625,10.1376633909217,10.0385615048979,9.94263052980432,9.84974045847674,9.759767618472,9.67259432673129,9.58810856389684,9.50620366725037,9.42677804128706,9.34973488496086,9.27498193466411,9.20243122205447,9.13199884586712,9.06360475690722,8.99717255543406,8.93262930021811,8.86990532856333,8.80893408664515,8.74965196954288,8.691998170382,8.63591453803863,8.58134544288765,8.52823765011247,8.47654020011427,8.42620429560055,8.37718319494291,8.32943211143598,8.28290811809646,8.2375700576733,8.19337845756325,492.534878841281,1418.45950873531
"1",1,17.8942941723518,10.0245526610565,10.1793655472978,11.7171833162107,16.3032125327119,23.7014042560827,32.3415884500196,40.7580314243057,48.089910363889,54.0001870210617,58.4715138107298,61.6438310877615,63.7152807964908,64.8899460419441,65.3538630652847,65.2663719938632,64.7590971847154,63.9383228184397,62.8885743191129,61.6763449711349,60.3535031162641,58.9602168603287,57.527377419494,56.0785648211343,54.6316213899248,53.1999007540967,51.793254040691,50.4188059940304,49.0815645513062,47.7848990596613,46.5309151976218,45.3207487988278,44.1547960473735,43.0328937519395,41.9544604377306,40.9186066655763,39.9242211646304,38.9700379408851,38.0546884115307,37.1767417464891,36.3347359193817,35.5272014387642,34.752679313971,34.0097344830412,33.2969656731647,32.6130124616967,31.956560146102,31.326342905014,30.7211456327385,30.1398047503399,29.5812082336508,29.0442950485597,28.5280541442281,28.0315231232193,27.5537866822895,27.0939748975077,26.6512614112824,26.224861566115,25.8140305196691,25.4180613676291,25.0362832943406,24.6680597660933,24.3127867778262,23.9698911608168,23.6388289563684,23.3190838585514,23.0101657274664,22.7116091733441,22.4229722108575,22.1438349823414,21.8737985481226,21.6124837417696,21.3595300878519,21.1145947796048,20.8773517138448,20.6474905803754,20.4247160032156,20.2087467309314,19.9993148734681,19.7961651829427,19.599054375925,19.4077504948685,19.2220323064178,19.0416887344703,18.8665183259132,18.6963287471386,18.5309363094736,18.3701655218103,18.2138486687984,18.061825413059,17.9139424199758,17.7700530036955,17.6300167930671,17.4936994163021,17.3609722032452,17.231711904178,17.1058004241808,16.9831245721049,16.8635758232843,16.7470500951824,1185.16415944161,3262.35773742559
"2",2,6.84779434621542,6.59622825036755,6.71785312938528,7.92600126638114,11.5289006255435,17.341105249793,24.1290502509652,30.741218548841,36.5013261900725,41.1445874898435,44.6573737510246,47.1496256196676,48.777008367528,49.6998547909318,50.0643196181693,49.9955844422087,49.597056653022,48.9522357636061,48.1275270631256,47.1751693403985,46.1359116631822,45.0413111009841,43.9156365665544,42.7774131197011,41.6406581373536,40.5158625641452,39.4107656920927,38.3309648986968,37.2803945447835,36.2617016738166,35.2765405595601,34.3258035413556,33.409801871346,32.5284073423452,31.6811631331975,30.8673704782245,30.0861563352298,29.3365261076277,28.6174046025021,27.927667723924,27.2661668673702,26.6317475635749,26.0232635929464,25.4395875348834,24.8796185143863,24.3422877493689,23.826562376607,23.3314479351467,22.8559898075354,22.3992738570324,21.9604264496135,21.5386140103184,21.1330422322983,20.7429550320333,20.3676333243825,20.0063936753273,19.6585868776571,19.3235964847976,19.0008373299632,18.6897540514268,18.3898196396171,18.1005340177164,17.821422664228,17.5520352834547,17.2919445278272,17.0407447744816,16.7980509572432,16.5634974542584,16.3367370307897,16.1174398361448,15.9052924533289,15.6999969997019,15.5012702767408,15.3088429668706,15.122458875265,14.9418742144668,14.7668569297102,14.5971860628278,14.4326511526865,14.2730516701593,14.1181964856933,13.9679033676327,13.821998509516,13.6803160846721,13.5426978264926,13.4089926328805,13.2790561934158,13.1527506378909,13.0299442049278,12.910510929468,12.7943303479981,12.6812872204401,12.5712712677032,12.4641769239467,12.3599031026753,12.2583529758252,12.159433765071,12.063056544612,11.9691360547545,11.8775905256521,893.180751344866,2429.12768106917
"3",3,12.577615949083,12.578996358146,12.7678938115042,14.6442870971631,20.2400050057694,29.2670285948933,39.8094894352441,50.0789487985899,59.025059769348,66.236579664677,71.6923415473423,75.5630959103966,78.0906088599886,79.5238957058179,80.0899515840215,79.9831979346041,79.3642383510237,78.3627571995805,77.0818895469978,75.6027682523906,73.9886813139733,72.2886404973775,70.5403382208926,68.7725460372569,67.0070345482271,65.2600973998116,63.5437546044007,61.8666995343034,60.2350427052849,58.652895280894,57.1228265389267,55.6462223852158,54.2235662302079,52.8546589533685,51.538791058798,50.2748772828707,49.0615616904448,47.8972995584045,46.7804209882435,45.7091801294417,44.6817930668076,43.6964667765281,42.7514210474859,41.8449048655607,40.9752084450122,40.140671844092,39.3396909071842,38.570721121824,37.8322798570963,37.1229473532958,36.4413667561039,35.7862434275455,35.1563437175459,34.5504933412682,33.9675754766184,33.4065286718065,32.8663446332185,32.3460659482846,31.8447837855507,31.361635604254,30.895802897797,30.446508989252,30.01301689205,29.5946272450809,29.1906763283208,28.800534162718,28.4236026961268,28.0593140756743,27.7071290057972,27.3665351903575,27.0370458566443,26.7181983585883,26.4095528562478,26.1106910683908,25.8212150949302,25.540746305848,25.2689242933519,25.0054058839443,24.7498642072312,24.5019878183694,24.261479871137,24.0280573387724,23.8014502798098,23.5814011463204,23.3676641320218,23.1600045579439,22.9581982933742,22.7620312099916,22.5712986671922,22.3858050267233,22.2053631948666,22.0297941904996,21.8589267374868,21.6925968799111,21.5306476187967,21.3729285690008,21.2192956350927,21.0696107050568,20.9237413607623,20.7815606042143,1445.17788999431,4005.7525062277
"4",4,762.122154693449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,563.385098605449,14283.3645212242,56537.2469166329
"5",5,181.038784441836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,133.820185697836,3392.72324118989,13429.2371685276
"6",6,18.7890648864595,13.8478467767048,13.9188810369106,14.6244925024568,16.7287436445023,20.1233258959542,24.0877832945589,27.9495793940863,31.3137347240273,34.0256028388033,36.0772239819403,37.5328083094683,38.4832711629538,39.0222539228918,39.2351173566149,39.1949730011679,38.9622153046754,38.5856116425393,38.1039456141981,37.547726961965,36.940754927456,36.3014602224203,35.6440169556186,34.9792445739385,34.3153298398931,33.6583999249698,33.0129749149223,32.3823239235459,31.7687447900074,31.1737835037104,30.5984062330405,30.0431341432847,29.5081490193368,28.9933759825807,28.4985482294389,28.0232576501279,27.5669943497394,27.129177440274,26.7091789619424,26.3063423934526,25.9199968994195,25.5494682191907,25.194086910286,24.8531945096585,24.5261480580571,24.2123233398982,23.9111171177881,23.6219485829422,23.3442601969271,23.0775180638191,22.8212119430564,22.5748549903266,22.3379832956148,22.1101552730066,21.8909509452613,21.6799711569574,21.4768367426286,21.2811876704568,21.0926821773908,20.9109959078405,20.7358210651171,20.5668655824406,20.4038523184585,20.2465182807472,20.0946138795951,19.9479022134714,19.8061583868522,19.6691688605499,19.5367308342583,19.4086516607155,19.2847482906598,19.1648467475725,19.048781631104,18.9363956479857,18.8275391692106,18.7220698122177,18.6198520468532,18.5207568238626,18.4246612247194,18.3314481316243,18.2410059165412,18.1532281481959,18.0680133159964,17.9852645698991,17.9048894752676,17.8267997818544,17.750911206049,17.6771432256073,17.6054188861094,17.5356646184401,17.4678100666277,17.4017879254152,17.3375337869806,17.2749859962456,17.2140855142664,17.1547757892095,17.0970026344666,17.0407141134726,16.9858604308291,16.9323938293618,776.335008772205,2423.04736407196
"7",7,35.5402832886919,35.5411028816006,35.6532573272677,36.7673318955858,40.0896881740414,45.4493201259962,51.708715530729,57.806021247245,63.1176127958013,67.3993222730792,70.6385821930179,72.9367725718921,74.4374376615385,75.2884257972601,75.6245112346646,75.5611281865584,75.1936321311451,74.59902081485,73.8385288177671,72.9603273072553,72.0019923873381,70.9926239072078,69.9546010583461,68.9050064296974,67.8567659222118,66.8195535934454,65.8005061083059,64.8047849993336,63.8360182747214,62.896646863453,61.98819622774,61.111489224099,60.2668128687372,59.4540489374397,58.6727761798512,57.922350240327,57.2019660569062,56.5107064781839,55.8475800321313,55.2115501515856,54.6015576691739,54.016538009444,53.45543420425,52.917206620635,52.4008401042465,51.9053490947008,51.4297811536211,50.9732192546725,50.5347831125708,50.1136297706752,49.7089536212805,49.3199859965095,48.9459944389481,48.5862817382176,48.2401848014037,47.9070734107084,47.5863489100391,47.2774428530024,46.979815637364,46.6929551451496,46.4163754028744,46.1496152726629,45.8922371820725,45.6438258980957,45.4039873489756,45.1723474960467,44.9485512566669,44.7322614784654,44.5231579644579,44.32093654808,44.1253082168408,43.935998283006,43.7527455995674,43.5753018196102,43.403430697156,43.2369074274814,43.0755180249796,42.9190587365945,42.7673354889431,42.620163367284,42.4773661245428,42.3387757187002,42.2042318768942,42.0735816847012,41.9466791990878,41.8233850836611,41.7035662648651,41.5870956078829,41.473851611058,41.363718117717,41.2565840443494,41.1523431241515,41.0508936650164,40.9521383210843,40.8559838770536,40.7623410444663,40.6711242692672,40.5822515499455,40.4956442656316,40.4112270135635,1559.86201196079,5185.59821971716
"8",8,8.72432671890975,8.72492221138315,8.80641038379098,9.61586470330872,12.0297925650968,15.9239459349959,20.4718413739693,24.9019671393431,28.7612157433063,31.8721818580205,34.2257343120482,35.895532889411,36.985872686681,37.6041760228375,37.8483659691576,37.8023136818755,37.5353016901117,37.1032743266869,36.5507228642415,35.9126470780184,35.216348677057,34.4829707690953,33.7287734265982,32.9661683640081,32.2045471666419,31.4509387245747,30.7105283318618,29.9870662085774,29.2831883604131,28.600668295683,27.9406143710551,27.3036244502457,26.6899070709197,26.0993763347858,25.5317261735346,24.9864884170144,24.4630781305176,23.9608289383926,23.4790204657748,23.016899572981,22.5736966996699,22.1486383561462,21.7409565799634,21.3498960039208,20.9747190462636,20.6147096273568,20.2691757330572,19.9374510785854,19.6188960741456,19.3128982518532,19.0188722804787,18.736259668202,18.4645282326768,18.2031714010319,17.9517073891581,17.7096782990535,17.476649164537,17.2522069689208,17.0359596528472,16.8275351262265,16.6265802947975,16.4327601091336,16.2457566417695,16.0652681964265,15.8910084519776,15.7227056427601,15.5601017760088,15.4029518865746,15.2510233286009,15.1040951034703,14.9619572230763,14.8244101072656,14.6912640141845,14.5623385021564,14.4374619216947,14.3164709361974,14.1992100699192,14.08553128179,13.9752935637097,13.868362561982,13.7646102205867,13.6639144450585,13.5661587857773,13.471232139551,13.3790284683978,13.2894465345297,13.2023896505543,13.1177654439955,13.035485635268,12.9554658282967,12.8776253130197,12.8018868790547,12.7281766398615,12.6564238667577,12.5865608322043,12.5185226617935,12.4522471944261,12.3876748501791,12.3247485054054,12.2634133746417,705.895218556594,2057.88410691987
"9",9,7.95685663126307,1.03168191472736,1.04745749415718,1.20416257828212,1.67148328994181,2.42536601897466,3.30580895463083,4.16345244853496,4.91057784222416,5.5128406197044,5.96847304565847,6.29173517451245,6.50281785766839,6.62251735641819,6.66979093956905,6.66087551669877,6.60918373419442,6.52554605051376,6.41857568625966,6.29504836995879,6.16024953465981,6.01827234831163,5.87226465503842,5.72462928191633,5.57718437869349,5.43129069270788,5.28795206311581,5.14789450809772,5.01162834118667,4.87949690204108,4.75171476129294,4.62839766146371,4.50958597408705,4.39526306981326,4.28536969581114,4.17981521738857,4.07848639499596,3.98125422264741,3.88797924046106,3.79851564549959,3.71271445589321,3.63042592907484,3.55150139251668,3.47579461204857,3.40316279664674,3.33346731795789,3.26657420655106,3.20235447403263,3.14068429998388,3.08144511461151,3.02452360160185,2.96981164057609,2.91720620449818,2.86660922415971,2.81792742929504,2.7710721738334,2.72595925115517,2.68250870391962,2.64064463198868,2.60029500114446,2.56139145463776,2.52386912908188,2.48766647579021,2.45272508832821,2.41898953679056,2.38640720911505,2.35492815958265,2.32450496453604,2.29509258525263,2.26664823783951,2.23913126996694,2.21250304421716,2.18672682780309,2.16176768839144,2.13759239575955,2.11416932900513,2.09146838903654,2.06946091606682,2.04811961184621,2.02741846637418,2.00733268883926,1.98783864254821,1.96891378361301,1.95053660317935,1.93268657298457,1.91534409405229,1.89849044833311,1.88210775311727,1.86617891805205,1.850687604607,1.8356181878398,1.82095572032336,1.80668589810472,1.79279502857161,1.77927000011363,1.76609825346794,1.75326775465065,1.74076696937669,1.72858483888005,1.71671075705185,127.146851722512,339.577629871739
