"","FID_site","abate_yr1","abate_yr2","abate_yr3","abate_yr4","abate_yr5","abate_yr6","abate_yr7","abate_yr8","abate_yr9","abate_yr10","abate_yr11","abate_yr12","abate_yr13","abate_yr14","abate_yr15","abate_yr16","abate_yr17","abate_yr18","abate_yr19","abate_yr20","abate_yr21","abate_yr22","abate_yr23","abate_yr24","abate_yr25","abate_yr26","abate_yr27","abate_yr28","abate_yr29","abate_yr30","abate_yr31","abate_yr32","abate_yr33","abate_yr34","abate_yr35","abate_yr36","abate_yr37","abate_yr38","abate_yr39","abate_yr40","abate_yr41","abate_yr42","abate_yr43","abate_yr44","abate_yr45","abate_yr46","abate_yr47","abate_yr48","abate_yr49","abate_yr50","abate_yr51","abate_yr52","abate_yr53","abate_yr54","abate_yr55","abate_yr56","abate_yr57","abate_yr58","abate_yr59","abate_yr60","abate_yr61","abate_yr62","abate_yr63","abate_yr64","abate_yr65","abate_yr66","abate_yr67","abate_yr68","abate_yr69","abate_yr70","abate_yr71","abate_yr72","abate_yr73","abate_yr74","abate_yr75","abate_yr76","abate_yr77","abate_yr78","abate_yr79","abate_yr80","abate_yr81","abate_yr82","abate_yr83","abate_yr84","abate_yr85","abate_yr86","abate_yr87","abate_yr88","abate_yr89","abate_yr90","abate_yr91","abate_yr92","abate_yr93","abate_yr94","abate_yr95","abate_yr96","abate_yr97","abate_yr98","abate_yr99","abate_yr100","abate_CO2eMg_25yrs_upper","abate_CO2eMg_100yrs_upper"
"0",0,6.25570210705806,6.25622950190774,6.32839908315011,7.0452881426083,9.18317095169401,12.6320078772863,16.6598281077129,20.5833462317653,24.0012699307319,26.7564810874435,28.8408927268288,30.3197412581745,31.2853950979371,31.8329922710316,32.0492578424487,32.0084718708139,31.7719940720992,31.38937125725,30.9000068933031,30.3348983513894,29.718225249855,29.068712873444,28.4007618717979,27.7253646160466,27.0508387154764,26.3834092704704,25.7276686100694,25.086938097415,24.4635522974052,23.8590819085668,23.2745085412889,22.7103616905002,22.1668260465118,21.6438255339437,21.1410890849703,20.6582020671014,20.1946464359191,19.7498320192505,19.3231208207981,18.9138458262703,18.5213254785052,18.1448747403275,17.783813469742,17.4374726796684,17.1051991346146,16.7863586423309,16.4803383240467,16.1865480880701,15.9044214849843,15.6334160857543,15.3730134947836,15.1227190866607,14.8820615368253,14.6505922016163,14.4278843914124,14.213532571201,14.0071515154184,13.8083754379569,13.6168571134605,13.4322670022534,13.254292388216,13.0826365365463,12.9170178764175,12.7571692120703,12.6028369646695,12.4537804463523,12.3097711671517,12.1705921749416,12.036037428115,11.905911200381,11.7800275168526,11.6582096203916,11.5402894671007,11.4261072497363,11.3155109478115,11.2083559031049,11.1045044193204,11.0038253846459,10.9061939159812,10.8114910236661,10.7196032955433,10.6304225992776,10.5438458018614,10.4597745053225,10.3781147976678,10.2987770181703,10.221675536138,10.1467285423613,10.0738578524794,10.0029887215423,9.93404966909751,9.86697231416753,9.80169121951732,9.73814374465205,9.6762699070256,9.61601225095168,9.55731572377234,9.50012755883427,9.44439716487349,9.39007602142571,588.398647989255,1675.45918380752
"1",1,26.1641176654487,15.8639247459049,16.0542236484143,17.9445380840452,23.5817711850164,32.6757671674785,43.2964435821194,53.6420930944177,62.6545761596836,69.9195990443675,75.415837771605,79.3153096494812,81.8615744711333,83.3054950158179,83.8757505193523,83.7682048539034,83.1446531470962,82.1357419065509,80.8453713683937,79.3552763245593,77.7292143132672,76.016560723354,74.2552876169406,72.4743800058005,70.6957700099687,68.9358721596465,67.2067956449026,65.5172983350466,63.8735360803729,62.2796505455648,60.7382300701485,59.2506708421312,57.8174598584293,56.4383965212136,55.1127660707636,53.8394751917731,52.6171578892825,51.4442579797193,50.3190931754334,49.2399046732637,48.2048953229744,47.2122587981277,46.2602016800419,45.3469599636477,44.4708111781325,43.6300830664731,42.8231595716632,42.0484847223446,41.3045648878144,40.5899697750287,39.9033324630301,39.2433487087934,38.6087757096724,37.9984304686917,37.4111878779423,36.8459786106176,36.3017868924715,35.7776482077948,35.2726469824213,34.7859142763129,34.316625510287,33.8639982451743,33.4272900266279,33.0057963049072,32.5988484357829,32.2058117663255,31.8260838073811,31.4590924931181,31.1042945268872,30.7611738117718,30.4292399636473,30.108026904025,29.7970915297483,29.4960124563145,29.2043888315743,28.9218392164182,28.6480005291494,28.382527050234,28.1250894841925,27.8753740755426,27.6330817757283,27.3979274581856,27.1696391787269,26.9479574786466,26.7326347280027,26.5234345067183,26.3201310212329,26.1225085545847,25.9303609479212,25.7434911115307,25.5617105636262,25.3848389952082,25.2127038594254,25.0451399839542,24.8819892050295,24.7231000217856,24.5683272697333,24.4175318121888,24.2705802485995,24.1273446387592,1545.99148207412,4364.9335246045
"2",2,12.2071867293321,11.8779689403412,12.0423320469614,13.6750159407315,18.543951772728,26.3985290275543,35.5717157716639,44.5073589699252,52.2915326852492,58.5664071866103,63.3135647372964,66.6815784440177,68.880813388863,70.1279423176559,70.620477823075,70.5275895328977,69.9890215521177,69.1176146043461,68.0031083852039,66.7160980696723,65.3116516950024,63.8324152890626,62.3111857099148,60.7729976084043,59.2367939807131,57.7167522243042,56.2233311703743,54.7640950801367,53.3443608243923,51.9677056012492,50.6363649860039,49.3515448805053,48.1136659089662,46.9225548129914,45.7775942473072,44.6778399043118,43.6221119602002,42.6090663233195,41.6372499846365,40.7051438478889,39.8111956960539,38.9538453865306,38.1315439252768,37.34276772309,36.5860290643285,35.8598836035137,35.162935535696,34.4938409525141,33.8513097898676,33.234106689039,32.6410510264303,32.0710163140137,31.522929130444,30.9957677091451,30.4885602829202,30.0003832632793,29.5303593156264,29.0776553778881,28.6414806593017,28.2210846474764,27.8157551449476,27.4248163510087,27.0476270002543,26.6835785658734,26.3320935330135,25.9926237454541,25.6646488271566,25.3476746790166,25.0412320501666,24.7448751824264,24.4581805260164,24.1807455241837,23.9121874642038,23.6521423919761,23.4002640874033,23.1562230976288,22.9197058252811,22.6904136688662,22.4680622125133,22.2523804624064,22.0431101272524,21.8400049403236,21.6428300206474,21.4513612710878,21.2653848111337,21.0846964423492,20.9091011445284,20.7384126007276,20.5724527494391,20.4110513622646,20.2540456455597,20.1012798645982,19.9526049889015,19.807878357447,19.6669633625729,19.5297291514353,19.3960503439801,19.2658067664324,19.1388831993715,19.0151691395346,1281.12485220934,3579.08402668775
"3",3,14.5473376122012,14.5490344369041,14.7812307283992,17.0877285375053,23.9660899104749,35.0622765629183,48.0212670990183,60.6446791008061,71.6414064456426,80.505941916979,87.2122667186865,91.9702705583971,95.0771368669035,96.8389599319252,97.5347664309608,97.403542843466,96.6427061178367,95.4116667087114,93.8372001738879,92.0190365450327,90.0349706162,87.9452485686752,85.7962026297521,83.6231993315236,81.4529995058681,79.3056316079638,77.1958708624175,75.1344033254715,73.1287401576764,71.1839348783506,69.3031456919355,67.4880761798666,65.7393205593278,64.0566340676251,62.4391445790963,60.8855180673429,59.394087791466,57.9629549488469,56.590066868932,55.2732775195262,54.0103940786294,52.7992125277497,51.6375445980035,50.5232379100029,49.454190763057,48.4283627256442,47.4437819396047,46.4985498612565,45.5908440128791,44.7189191992234,43.8811075495194,43.0758176704921,42.3015331363416,41.5568104941266,40.8402769251887,40.1506276730866,39.4866233244033,38.8470870096573,38.230901576184,37.6370067727068,37.0643964755656,36.5121159789213,35.979259365064,35.4649669662038,34.9684229252424,34.4888528601176,34.0255216339192,33.5777312312468,33.1448187398845,32.7261544358115,32.3211399688868,31.929206645885,31.5498138073049,31.1824472940133,30.8266179997602,30.4818605054316,30.1477317910078,29.8238100211941,29.5096934007715,29.2049990959011,28.9093622176383,28.6224348641829,28.343885218425,28.0733966976179,27.8106671520727,27.5554081099991,27.3073440657232,27.0662118086963,26.8317597908518,26.6037475299822,26.3819450469789,26.1661323348926,25.956098857885,25.7516430782672,25.5525720099568,25.3587007967158,25.1698523137391,24.9858567911457,24.8065514580886,24.6317802062507,1753.60716589868,4832.61571424352
"4",4,930.171871238449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,670.060136064449,17011.6151367852,67266.1253416189
"5",5,220.966276026836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,159.165462964836,4040.93738718289,15978.3471095456
"6",6,23.708447023504,17.2412231748001,17.3285398193375,18.1958906630018,20.7824756215132,24.955159773415,29.8283451413561,34.575337315572,38.710620125048,42.0440992592577,44.5659904362983,46.3552219839018,47.5235487445847,48.1860764590272,48.447732182949,48.3983859885269,48.1122758637915,47.6493475809753,47.0572746677,46.3735602712756,45.6274588657314,44.8416258275257,44.0334842369119,43.2163335608684,42.4002371213787,41.592726552519,40.7993580284497,40.0241500051438,39.2699270295895,38.5385894609491,37.8313249315177,37.1487740674385,36.4911603221105,35.8583916533353,35.2501401011531,34.6659040093656,34.1050566055913,33.5668838514093,33.0506138468727,32.5554395836993,32.0805364584559,31.6250756573059,31.1882342890006,30.7692029584169,30.3671913279875,29.981432100213,29.6111837643787,29.2557323794361,28.9143926086889,28.5865081772577,28.2714518878766,27.9686253023879,27.6774581739041,27.3974076967387,27.1279576269929,26.8686173153388,26.6189206844755,26.3784251765418,26.1467106899871,25.9233785208386,25.7080503196344,25.5003670724132,25.2999881118278,25.1065901626598,24.9198664245561,24.739525693713,24.5652915243361,24.3969014300515,24.2341061249212,24.0766688033177,23.9243644576572,23.7769792327401,23.6343098153561,23.4961628576701,23.3623544329005,23.2327095217348,23.1070615279653,22.9852518218299,22.8671293095705,22.7525500277928,22.6413767612208,22.5334786825375,22.4287310130202,22.3270147027782,22.2282161294241,22.1322268140987,22.0389431538082,21.9482661690995,21.8601012661573,21.7743580124459,21.6909499250849,21.6097942711916,21.5308118794629,21.4539269623199,21.3790669479871,21.30616232189,21.2351464768335,21.1659555714176,21.0985283962057,21.0328062471832,960.158691708252,3000.76766493043
"7",7,36.7097698927621,36.7107773517329,36.8486396992427,38.2180810475175,42.3019836791753,48.8901437676173,56.5843099627787,64.0792324740023,70.6083403978293,75.8714979693519,79.8532569990641,82.6782357038458,84.5228813695096,85.5689319419661,85.9820544632258,85.9041428320614,85.4524097901963,84.7215024112444,83.7866913892049,82.7071896262057,81.5291863738636,80.2884517124285,79.0124945636792,77.7223131662448,76.4337962799343,75.1588354376832,73.9062031618095,72.6822441048901,71.4914178826206,70.3367249306754,69.2200403758076,68.1423756886759,67.1040836749835,66.1050190113087,65.1446638888169,64.2222262534671,63.3367165080031,62.4870072727204,61.6718798116119,60.8900599568845,60.1402457601452,59.4211286252865,58.7314093072457,58.069809869699,57.4350824658822,56.826015626492,56.241438596418,55.6802241496948,55.1412902231455,54.6236006386625,54.126165128149,53.6480388306371,53.1883213957411,52.74615579939,52.3207269553407,51.9112601880596,51.5170196182523,51.1373065009544,50.7714575469812,50.4188432513177,50.0788662462422,49.7509596924339,49.434585717641,49.1292339096653,48.8344198681139,48.5496838176464,48.2745892840214,48.0087218332226,47.7516878731141,47.5031135164506,47.2626435036604,47.029940183429,46.8046825489583,46.5865653275645,46.3752981212599,46.1706045958651,45.9722217162581,45.7798990253637,45.5933979645394,45.4124912331192,45.2369621848931,45.0666042594611,44.9012204464168,44.7406227804817,44.5846318657439,44.4330764272967,44.2857928886302,44.1426249732427,44.0034233290204,43.868045174003,43.7363539622552,43.608219068631,43.483515491285,43.3621235708605,43.2439287253622,43.1288211997429,43.016695829354,42.9074518163998,42.8009925186345,42.6972252495689,1742.98631486468,5676.53329104199
"8",8,9.57404181896075,9.57477380947453,9.67494059890148,10.6699370257212,13.6371824145785,18.4239487522341,24.0143070988597,29.4599007545154,34.2037614994182,38.0278193782395,40.9208501838389,42.9733979038566,44.3136640265321,45.0736940805232,45.3738569411013,45.3172486060938,44.9890324593429,44.4579763237081,43.7787697057301,42.9944349853839,42.1385319353271,41.2370500600248,40.3099765454271,39.3725681036464,38.4363690474466,37.5100194202991,36.5998930828816,35.7105998760257,34.8453800273525,34.0064135665349,33.1950629063712,32.4120629521515,31.657670042283,30.9317785889758,30.2340123673255,29.5637958938027,28.9204101556982,28.3030360315657,27.7107880231152,27.142740356926,26.5979470749983,26.075457389295,25.5743273059776,25.0936283135205,24.6324537626003,24.1899234347034,23.7651866930699,23.3574245279559,22.9658507435919,22.5897124829711,22.2282902459708,21.8808975239735,21.5468801484616,21.2256154305632,20.9165111522176,20.6190044566155,20.3325606751715,20.056672120029,19.7908568644741,19.5346575283925,19.2876400816964,19.0493926753499,18.819524506951,18.5976647257771,18.3834613805302,18.1765804117623,17.9767046899293,17.7835330992761,17.5967796671547,17.4161727379198,17.2414541902544,17.0723786964912,16.9087130223866,16.7502353656486,16.5967347315089,16.4480103435551,16.3038710880843,16.1641349902387,16.028628720217,15.8971871279374,15.7696528045376,15.6458756692124,15.5257125799059,15.4090269664896,15.2956884850892,15.1855726923171,15.0785607382184,14.9745390768123,14.8733991931779,14.7750373460776,14.6793543251891,14.5862552220639,14.495649213981,14.4074493599169,14.321572407912,14.2379386131273,14.1564715659746,14.0770980296944,13.9997477868296,13.9243534940611,838.948034058886,2414.58331304801
"9",9,13.9772996902729,4.91345889886882,4.93285053689606,5.12547536452276,5.69991474555819,6.62660153138655,7.70885849620016,8.76308995972262,9.68147050224652,10.4217832007523,10.981855121843,11.3792149917953,11.6386817837309,11.7858186519597,11.8439282267484,11.8329692217921,11.7694287135168,11.66661970453,11.5351297270945,11.3832876337603,11.2175903779327,11.0430693584012,10.8635939641855,10.6821177953806,10.5008757557472,10.321540501427,10.1453459703332,9.9731845976258,9.80568367026811,9.64326522780584,9.48619302448309,9.33460933317741,9.18856377933486,9.04803592184705,8.9129529260229,8.78320338199937,8.658648093599,8.53912848424491,8.42447312723555,8.31450279886646,8.20903436783004,8.107883767755,8.01086824758263,7.91780805352913,7.82852766419068,7.74285667499609,7.66063040820898,7.58169030887734,7.50588417462082,7.43306625722641,7.3630972661566,7.2958442978144,7.23118070943555,7.16898595251012,7.1091453774788,7.05155001892932,6.99609636850592,6.94268614114623,6.89122603897736,6.84162751618815,6.79380654738054,6.74768340126364,6.70318242103778,6.66023181241849,6.61876343992681,6.57871263182941,6.54001799391205,6.50262123212579,6.46646698402858,6.43150265885683,6.39767828600475,6.36494637163383,6.33326176311359,6.30258152096498,6.27286479797507,6.24407272513812,6.21616830408603,6.18911630567156,6.1628831743741,6.13743693821347,6.11274712385915,6.0887846766448,6.06552188520066,6.04293231043941,6.0209907186359,5.99967301836085,5.97895620103704,5.95881828490216,5.93923826217431,5.92019604922558,5.90167243958372,5.88364905959127,5.866108326561,5.84903340927702,5.83240819070219,5.81621723275508,5.80044574303706,5.78507954338853,5.7701050401671,5.75550919614484,247.974983954845,782.496090426719
