OID_,veg_type,Shape_Length,Shape_Area,veg_ha
1,3,1138443.102898646378890,19709616.293215587735176,1970.961629321558803
2,6,197546.344557870354038,2316040.178509182296693,231.604017850918240
3,9,526341.600605229730718,11054995.533724632114172,1105.499553372463197
4,10,12328.608373805749579,447469.831420994363725,44.746983142099438
5,14,332707.032625330088194,6468288.074500371702015,646.828807450037175
6,51,307609.559708121872973,52827663.166407838463783,5282.766316640783771
7,101,646303.056620950112119,22789089.160850316286087,2278.908916085031706
8,107,9695.410724853782085,27928.885593316994346,2.792888559331700
