OID_,TERTIARY_V8,SECONDARY_V8,PRIMARY_V8,Shape_Length,Shape_Area,Landuse_ha
1,3.2.0 Grazing modified pastures,3.2 Grazing modified pastures,3 Production from dryland agriculture and plantations,3.702181351386109,0.000423962302456,438.184641192533547
2,4.2.0 Grazing irrigated modified pastures,4.2 Grazing irrigated modified pastures,4 Production from irrigated agriculture and plantations,0.116897002315835,0.000005103625506,5.271826531588748
