Study (cluster),Observation #,Reference,Publication type,Year published,Year (data collection),$ value reported based on year,Type of source,Action,Specific technique,Species,Location,Country,Country Code,Economy type (developed or developing),Cost (including),Total project costs reported (capital costs and operating costs),"Capital costs reported (planning, purchasing, land acquisition, construction, and financing)","Operating costs reported (maintenance, monitoring, and equipment repair and replacement)",Monitoring costs included,Construction costs included,In-kind costs (volunteers),Funding: Government,Funding: NGO,Funding: volunteers,Funding: private,Notes to funding,Project duration (year),Area (ha),Cost ($),Year used in CPI conversion,Restoration cost in (US$ / ha),"Restoration cost in  (US$ / ha) @2010 base, CPI","Restoration cost in (US$ / ha/ yr) @2010 base, CPI","Restoration cost in (Int$ / ha/ yr) @2010 base, GDP (PPP)",Feasibility (reasons for failure/success),Average survival (%),Notes,,
13,50,"King D (1998) The dollar value of wetlands: trap set, bait taken, don’t swallowNA Natl Wetl Newsl 20:7–11",journal,1998,NA,1997,secondary,"Pre-construction, construction and post-construction tasks paid for wetland mitigation - here for mangrovesNA Original source: Kind D & Bohlen C (1994) Making sense of wetland restoration costsNA University of Maryland, Centre for Environmental Science","Pre-construction, construction and post-construction",NA,NA,USA,USA,developed,"Numbers represent how much money the state and federal agencies in the United States have been willing to spend or have spent by permit seekers to attempt to restore wetland servicesNA Cost include pre-construction, construction and post-construction tasks paid for wetland mitigation but do not include the time and resources of government agenciesNA Here for mangrovesNA",yes,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,0NA405,24000.00,1997.00,59305.00,80563.00,80563.00,80563.00,Numbers do not account for success or failure of the restoration projectNA,NA,NA,,
14,51,"Lewis III R (1990) Creation and restoration of coastal wetlands in Puerto Rico and the UNASNA Virgin IslandsNA In: Kusler J, Kentula M (eds) Wetland creation and restoration: the status of the scienceNA Island Press, Washington, p 103–123",chapter/book,1990,1979,NA,primary,Planting of red and black mangrove propagules as mitigation for impoundment of 7NA4 ha of mangrove forest for cooling pondNA,"Planting mangroves (seeds, seedlings or propagules)","Rhizophora, Avicennia ","StNA Croix, Virgin Islands",Virgin Islands,VIR,developed,Planting of red and black mangrove propagulesNA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,no acknowledgment,2,3NA8,NA,1979.00,NA,NA,NA,NA,"40% of Rhizophora survived, 1-2% of the Avicennia propagules survived",21,NA,,
15,52,"Lewis III R (1999) Key concepts in successful ecological restoration of mangrove forestsNA In: Proceedings of the TCE-Workshop NoNA II, Coastal Environmental Improvement in Mangrove/Wetland Ecosystems, 18-23 August 1998, Ranong, ThailandNA Danish-SE Asian Collaboration in Tropical Coastal Ecosystems (TCE) Research and TrainingNA, NACA, PNAONA Box 1040, Bangkok, Thailand, p 12–32",conference proceedings,1999,1989-1995,NA,secondary,Planting of mangroves between 1989 - 1995; Source: Sanyal (1998),"Planting mangroves (seeds, seedlings or propagules)",various,West Bengal,India,IND,developing,Planting of mangrovesNA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9050.00,NA,1989.00,NA,NA,NA,NA,Failure: success rate of only 1NA52%,1NA5,NA,,
16,53,"Lewis III R (2001) Mangrove restoration - costs and benefits of successful ecological restorationNA In: Proceedings of the Mangrove Valuation Workshop, Universiti Sains Malaysia, Penang, 4-8 April, 2001NA Beijer International Institute of Ecological Economics, Stockholm, Sweden, p 1–18",conference proceedings,2001,NA,NA,secondary,Mangrove restoration review,NA,various,worldwide,Globally,INT,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
16,54,"Lewis III R (2001) Mangrove restoration - costs and benefits of successful ecological restorationNA In: Proceedings of the Mangrove Valuation Workshop, Universiti Sains Malaysia, Penang, 4-8 April, 2001NA Beijer International Institute of Ecological Economics, Stockholm, Sweden, p 1–18",conference proceedings,2001,NA,NA,secondary,"Mangrove restoration, involving excavation and refilling to restore the natural hydrology  ",Hydrological restoration - facilitation of a natural recovery,various,worldwide,Globally,INT,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
16,55,"Lewis III R (2001) Mangrove restoration - costs and benefits of successful ecological restorationNA In: Proceedings of the Mangrove Valuation Workshop, Universiti Sains Malaysia, Penang, 4-8 April, 2001NA Beijer International Institute of Ecological Economics, Stockholm, Sweden, p 1–18",conference proceedings,2001,NA,NA,primary,"Mangrove restoration, involving excavation and refilling to restore the natural hydrology and the slope of the reference site  ",Hydrological restoration - facilitation of a natural recovery,various,worldwide,Globally,INT,developed,Cost spent for individual projects on mangrove restoration (unpublished data)NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,no acknowledgement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
16,56,"Lewis III R (2001) Mangrove restoration - costs and benefits of successful ecological restorationNA In: Proceedings of the Mangrove Valuation Workshop, Universiti Sains Malaysia, Penang, 4-8 April, 2001NA Beijer International Institute of Ecological Economics, Stockholm, Sweden, p 1–18",conference proceedings,2001,NA,NA,secondary,Planting only,"Planting mangroves (seeds, seedlings or propagules)",NA,worldwide,Globally,INT,developed,Planting only is inexpensive: 100-200 US$/haNA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Planting only is usually not successful due to failure to not taking into account the physiological tolerances of mangroves to tidal inundationNA Planting should only be done if natural recolonization failsNA,0,NA,,
16,57,"Lewis III R (2001) Mangrove restoration - costs and benefits of successful ecological restorationNA In: Proceedings of the Mangrove Valuation Workshop, Universiti Sains Malaysia, Penang, 4-8 April, 2001NA Beijer International Institute of Ecological Economics, Stockholm, Sweden, p 1–18",conference proceedings,2001,NA,NA,secondary,Planting only,"Planting mangroves (seeds, seedlings or propagules)",NA,worldwide,Globally,INT,developed,Planting only is inexpensive: 100-200 US$/ha,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Planting only is usually not successful due to failure to not taking into account the physiological tolerances of mangroves to tidal inundationNA Planting should only be done if natural recolonization failsNA,0,NA,,
16,58,"Lewis III R (2001) Mangrove restoration - costs and benefits of successful ecological restorationNA In: Proceedings of the Mangrove Valuation Workshop, Universiti Sains Malaysia, Penang, 4-8 April, 2001NA Beijer International Institute of Ecological Economics, Stockholm, Sweden, p 1–18",conference proceedings,2001,NA,NA,secondary,Hydrological restoration,Hydrological restoration - facilitation of a natural recovery,various,worldwide,Globally,INT,developed,Cost for hydrological restoration is similar to planting only: 100-200 US$/haNA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrological restoration: similar cost as planting only but with a high success rateNA,NA,NA,,
16,59,"Lewis III R (2001) Mangrove restoration - costs and benefits of successful ecological restorationNA In: Proceedings of the Mangrove Valuation Workshop, Universiti Sains Malaysia, Penang, 4-8 April, 2001NA Beijer International Institute of Ecological Economics, Stockholm, Sweden, p 1–18",conference proceedings,2001,NA,NA,secondary,Hydrological restoration,Hydrological restoration - facilitation of a natural recovery,various,worldwide,Globally,INT,developed,Cost for hydrological restoration is similar to planting only: 100-200 US$/haNA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydrological restoration: similar cost as planting only but with a high success rateNA,NA,NA,,
16,60,"Lewis III R (2001) Mangrove restoration - costs and benefits of successful ecological restorationNA In: Proceedings of the Mangrove Valuation Workshop, Universiti Sains Malaysia, Penang, 4-8 April, 2001NA Beijer International Institute of Ecological Economics, Stockholm, Sweden, p 1–18",conference proceedings,2001,NA,NA,secondary,"Hydrological restoration, coversion of abandonned shrimp pondsNA",Hydrological restoration - facilitation of a natural recovery,NA,Surat Thani,Thailand,THA,developing,Cost for mangrove restoration effort to convert abandoned shrimp aquaculture ponds back to the former condition as mangrove forestsNA Based upon actual costs generated by the Royal Forest Department in doing successful mangrove restorationNA Here: cost for hydrologic restorationNA See: Barbier (2000),yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.00,US $ 200/ha,2000.00,200.00,259.00,259.00,49.00,NA,NA,NA,,
16,61,"Lewis III R (2001) Mangrove restoration - costs and benefits of successful ecological restorationNA In: Proceedings of the Mangrove Valuation Workshop, Universiti Sains Malaysia, Penang, 4-8 April, 2001NA Beijer International Institute of Ecological Economics, Stockholm, Sweden, p 1–18",conference proceedings,2001,NA,NA,secondary,"Restoration by planting, coversion of abandonned shrimp pondsNA","Habitat conversion, planting",NA,Surat Thani,Thailand,THA,developing,Cost for mangrove restoration effort to convert abandoned shrimp aquaculture ponds back to the former condition as mangrove forestsNA Based upon actual costs generated by the Royal Forest Department in doing successful mangrove restorationNA Here: cost for plantingNA See: Barbier (2000),yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.00,US $ 700/ha,2000.00,700.00,905.00,905.00,172.00,"Planting is not essential for successful ecological restoration, but is a form of local economic incentive and employment of currently unemployed or under employed residentsNA",NA,NA,,
16,62,"Lewis III R (2001) Mangrove restoration - costs and benefits of successful ecological restorationNA In: Proceedings of the Mangrove Valuation Workshop, Universiti Sains Malaysia, Penang, 4-8 April, 2001NA Beijer International Institute of Ecological Economics, Stockholm, Sweden, p 1–18",conference proceedings,2001,NA,NA,secondary,Restoration of abandoned shrimp aquaculture ponds back to mangrove forest,Habitat conversion,various,Thailand,Thailand,THA,developing,"Total cost for restoring the lost mangrove habitat: US$ 240,000-840,000; See: Barbier (2000)",yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1200.00,240000.00,2000.00,200.00,259.00,86.00,16.00,NA,NA,NA,,
16,63,"Lewis III R (2001) Mangrove restoration - costs and benefits of successful ecological restorationNA In: Proceedings of the Mangrove Valuation Workshop, Universiti Sains Malaysia, Penang, 4-8 April, 2001NA Beijer International Institute of Ecological Economics, Stockholm, Sweden, p 1–18",conference proceedings,2001,NA,NA,secondary,Restoration of abandoned shrimp aquaculture ponds back to mangrove forest,Habitat conversion,various,Thailand,Thailand,THA,developing,"Total cost for restoring the lost mangrove habitat: US$ 240,000-840,000; See: Barbier (2000)",yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1200.00,840000.00,2000.00,700.00,905.00,302.00,57.00,NA,NA,NA,,
17,64,"Lewis III R (2005) Ecosystem services of the tropical seascape: interactions, substitutions and restorationNA Ecol Eng 24:403–418",journal,2005,NA,1997,secondary,"A good review on the literature of mangrove restoration available, as well as personal experience with restoration projectsNA See Brockmeyer et alNA (1997)",NA,various,various,Globally,INT,developed,"Reported cost for mangrove restoration range between US$ 225–216,000 ha?1 without the cost of the landNA",yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,various,225-216000 US$ ha-1,NA,NA,NA,NA,NA,"Ecological restoration of mangrove forests is feasible, has been done on a large-scale in various parts of the world and can be done cost effectivelyNA If there is however no adequately training, and retraining of coastal managers in the basics of successful coastal habitat restoration the restoration project is destined to fail, or only partially achieve their stated goalsNA Problem that unsuccessful or partly successful projects are rarely reportedNA",NA,NA,,
17,65,Lewis III R (2005) Ecological engineering for successful management and restoration of mangrove forestsNA Ecol Eng 24:403–418,journal,2005,NA,1996,secondary,Estimate of governmental tidal wetland restoration attempts provided by Lewis Environmental and Coastal Environmental,NA,various,various,Globally,INT,developed,Estimate of governmental tidal wetland restoration attemptsNA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62500.00,NA,NA,NA,NA,NA,NA,NA,NA,,
17,66,Lewis III R (2005) Ecological engineering for successful management and restoration of mangrove forestsNA Ecol Eng 24:403–418,journal,2005,NA,1996,secondary,Estimate of private tidal wetland restoration attempts provided by Lewis Environmental and Coastal Environmental,NA,various,various,Globally,INT,developed,Estimate of private tidal wetland restoration attempts providedNA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125000.00,NA,NA,NA,NA,NA,NA,NA,NA,,
18,67,"Lewis III R (2009) Methods and criteria for successful mangrove forest restorationNA In: Perillo G, Wolanski E, Cahoon D, Brinson M (eds) Coastal wetlands: An integrated ecosystem approachNA Elsevier, Oxford, p 787–800",chapter/book,2009,NA,NA,secondary,Review on previous restoration projectsNA Recommendation for steps of successful mangrove restorationNA,NA,various,various,Globally,INT,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most attempts to restore mangroves fail, or fail to achieve the goals- Problem: undocumented restoration attempts, poorly selected sites, lack of understanding of hydrology and mangrove ecologyNA Realistic time frame for successful mangrove restoration: 5 -10 yearsNA",NA,NA,,
19,68,"Lewis III R, Hodgson A, Mauseth G (2005) Project facilitates the natural reseeding of mangrove forests (Florida)NA Ecol Restor 23:276–277",journal,2005,1999,NA,secondary,Estimate for mangrove planting for restorationNA,"Planting mangroves (seeds, seedlings or propagules)",various,"Tampa Bay, Florida",USA,USA,developed,Estimate for mangrove planting as restorationNA Typical planting cost of 2 US$ for mangrove planted with a spacing of 0NA9NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999.00,24000.00,31417.00,31417.00,31417.00,NA,NA,NA,,
19,69,"Lewis III R, Hodgson A, Mauseth G (2005) Project facilitates the natural reseeding of mangrove forests (Florida)NA Ecol Restor 23:276–277",journal,2005,1999,NA,primary,"Facilitation of natural reseeding of mangrove forest including clearing of invasive plants by chainsaws and 3% Garlon sprayed on foliage, removing of 5352 m³ dredged material, regrading the site to intertidal elevations favorable for naturally occuring mangroves, excavating two tidal creek systems to enhance flushing withing the developing forest, planting of smooth cord grass to trap mangrove seeds at high tide from adjacent forestNA",Hydrological restoration - facilitation of a natural recovery,"Rhizophora mangle, Avicennia germinans, Laguncularia racemosa","Cross Bayou, Pinellas County, Tampa Bay, Florida",USA,USA,developed,"Facilitation of natural reseeding of mangrove forest including clearing of invasive plants by chainsaws and 3% Garlon sprayed on foliage, removing of 5352 m³ dredged material, regrading the site to intertidal elevations favorable for naturally occuring mangroves, excavating two tidal creek systems to enhance flushing withing the developing forest, planting of smooth cord grass to trap mangrove seeds at high tide from adjacent forestNA",yes,NA,NA,NA,yes,NA,NA,NA,NA,NA,no acknowledgement,5,1NA9,NA,1999.00,NA,NA,NA,NA,Mangrove cover increased linearly from 3NA7 % to 94NA7 % in 5 yearsNA,94NA7,NA,,
20,70,"Lewis III R, Phillips M, Clough B, Macintosh D (2003) Thematic review on coastal wetland habitats and shrimp aquacultureNA Report prepared under the World Bank, NACA, WWF and FAONA Consortium program on shrimp farming and the environment",report,2003,NA,NA,secondary,Cost estimate of the Royal Forest Department of Thailand for restoring disused ponds to mangrove forestsNA Planting of mangroves on 1m centersNA No monitoringNA,"Habitat conversion, planting",Rhizophora apiculata,"Don Sak National
Forest Reserve, Surat Thani",Thailand,THA,developing,"Cost include collection and planting of mangrove seeds, no monitoringNA",NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002.00,709.00,896.00,896.00,174.00,NA,NA,NA,,
20,71,"Lewis III R, Phillips M, Clough B, Macintosh D (2003) Thematic review on coastal wetland habitats and shrimp aquacultureNA Report prepared under the World Bank, NACA, WWF and FAONA Consortium program on shrimp farming and the environment",report,2003,1994,NA,secondary,Synthesis of all projectsNA Excavation and planting of seedlings at all sites in most casesNA Source: King and Bohlen (1994),"Planting mangroves (seeds, seedlings or propagules), construction",various,Florida and Texas,USA,USA,developed,Excavation and planting of seedlingsNA,NA,yes,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994.00,45000.00,66200.00,66200.00,66200.00,NA,NA,NA,,
20,72,"Lewis III R, Phillips M, Clough B, Macintosh D (2003) Thematic review on coastal wetland habitats and shrimp aquacultureNA Report prepared under the World Bank, NACA, WWF and FAONA Consortium program on shrimp farming and the environment",report,2003,NA,NA,secondary,"Planting of mixed species from seedlingsNA Source: Wetlands
International","Planting mangroves (seeds, seedlings or propagules)",various,Pattani,Thailand,THA,developing,Direct planting costs onlyNA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002.00,288.00,364.00,364.00,71.00,NA,NA,NA,,
20,73,"Lewis III R, Phillips M, Clough B, Macintosh D (2003) Thematic review on coastal wetland habitats and shrimp aquacultureNA Report prepared under the World Bank, NACA, WWF and FAONA Consortium program on shrimp farming and the environment",report,2003,NA,NA,secondary,"Planting of mixed species from seedlingsNA Source: Wetlands
International","Planting mangroves (seeds, seedlings or propagules)",various,Pattani,Thailand,THA,developing,Planting of mixed species from seedlings: all project costs includedNA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002.00,958.00,1211.00,1211.00,236.00,NA,NA,NA,,
20,74,"Lewis III R, Phillips M, Clough B, Macintosh D (2003) Thematic review on coastal wetland habitats and shrimp aquacultureNA Report prepared under the World Bank, NACA, WWF and FAONA Consortium program on shrimp farming and the environment",report,2003,2000,NA,secondary,Planting of propagulesNA Source: Macintosh (2000),"Planting mangroves (seeds, seedlings or propagules)",Kandelia,Red River Delta,Vietnam,VNM,developing,Direct planting and protection costs only using propagulesNA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000.00,84.00,175.00,175.00,6.00,NA,NA,NA,,
20,75,"Lewis III R, Phillips M, Clough B, Macintosh D (2003) Thematic review on coastal wetland habitats and shrimp aquacultureNA Report prepared under the World Bank, NACA, WWF and FAONA Consortium program on shrimp farming and the environment",report,2003,2000,NA,secondary,Planting of propagulesNA Source: Macintosh (2000),"Planting mangroves (seeds, seedlings or propagules)",Kandelia,Red River Delta,Vietnam,VNM,developing,All project costs included: planting of propagulesNA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000.00,164.00,341.00,341.00,12.00,NA,NA,NA,,
20,76,"Lewis III R, Phillips M, Clough B, Macintosh D (2003) Thematic review on coastal wetland habitats and shrimp aquacultureNA Report prepared under the World Bank, NACA, WWF and FAONA Consortium program on shrimp farming and the environment",report,2003,1998,NA,secondary,"Direct planting using propagules, including land survey, site preparation and protectionNA Source: RMFP (1998)","Planting mangroves (seeds, seedlings or propagules)",Rhizophora,Mekong Delta,Vietnam,VNM,developing,"All project costs included: direct planting using propagules, including land survey, site preparation and protection",yes,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998.00,320.00,680.00,680.00,24.00,NA,NA,NA,,
21,77,"Matsui N, Suekuni J, Nogami M, Havanond S, Salikul P (2010) Mangrove rehabilitation dynamics and soil organic carbon changes as a result of full hydraulic restoration and re-grading of a previously intensively managed shrimp pondNA Wetl Ecol Manag 18:233-242",journal,2010,1999-2005,NA,primary,"After several failing attempts by the local villagers to replant mangroves due to the changed hydraulic conditions, a study was carried out on an abandoned, formerly intensively managed shrimp pondNA Before planting, the abandoned shrimp pond was prepared by reopening the obstructing banks on all sides using heavy machineryNA This increased greatly the frequency of tidal floodingNA The seedlings of 4 different mangrove species were planted at a spacing of 1NA5 x 1NA5 m across an area of 6,525 m2NA In total, 800 seedlings of Rhizophora mucronata, Rhizophora apiculata and Ceriops tagal, and 500 seedlings of Bruguiera cylindrica were plantedNA","Habitat conversion, hydrological restoration, planting",Rhizophora mucronata,"Thong Nian sub-district, Khanom district, Nakorn Sri
Thammarat province",Thailand,THA,developing,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,yes,"The research works described in this paper was undertaken as a part of Joint Research Project that had been conducted among Department of Marine and Coastal Resources (DMCR), Thailand, Kansai Electric Power CoNA, IncNA and Kanso Technos CoNA, LtdNA from 1998 to 2007NA We would like to thank all staffs of Mangrove Resources Research & Development Station NrNA 6, DMCR for their hard work in the fieldNA",1,0NA653,NA,1999.00,NA,NA,NA,NA,"High survival rates were observed in Rhizophora mucronata, Rhizophora apiculata and Bruguiera cylindrica but low in Ceriops tagalNA",70NA5,NA,,
21,78,"Matsui N, Suekuni J, Nogami M, Havanond S, Salikul P (2010) Mangrove rehabilitation dynamics and soil organic carbon changes as a result of full hydraulic restoration and re-grading of a previously intensively managed shrimp pondNA Wetl Ecol Manag 18:233-242",journal,2010,1999-2005,NA,primary,"After several failing attempts by the local villagers to replant mangroves due to the changed hydraulic conditions, a study was carried out on an abandoned, formerly intensively managed shrimp pondNA Before planting, the abandoned shrimp pond was prepared by reopening the obstructing banks on all sides using heavy machineryNA This increased greatly the frequency of tidal floodingNA The seedlings of 4 different mangrove species were planted at a spacing of 1NA5 x 1NA5 m across an area of 6,525 m2NA In total, 800 seedlings of Rhizophora mucronata, Rhizophora apiculata and Ceriops tagal, and 500 seedlings of Bruguiera cylindrica were plantedNA","Habitat conversion, hydrological restoration, planting",Rhizophora apiculata,"Thong Nian sub-district, Khanom district, Nakorn Sri
Thammarat province",Thailand,THA,developing,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,yes,"The research works described in this paper was undertaken as a part of Joint Research Project that had been conducted among Department of Marine and Coastal Resources (DMCR), Thailand, Kansai Electric Power CoNA, IncNA and Kanso Technos CoNA, LtdNA from 1998 to 2007NA We would like to thank all staffs of Mangrove Resources Research & Development Station NrNA 6, DMCR for their hard work in the fieldNA",1,0NA653,NA,1999.00,NA,NA,NA,NA,"High survival rates were observed in Rhizophora mucronata, Rhizophora apiculata and Bruguiera cylindrica but low in Ceriops tagalNA",72NA2,NA,,
21,79,"Matsui N, Suekuni J, Nogami M, Havanond S, Salikul P (2010) Mangrove rehabilitation dynamics and soil organic carbon changes as a result of full hydraulic restoration and re-grading of a previously intensively managed shrimp pondNA Wetl Ecol Manag 18:233-242",journal,2010,1999-2005,NA,primary,"After several failing attempts by the local villagers to replant mangroves due to the changed hydraulic conditions, a study was carried out on an abandoned, formerly intensively managed shrimp pondNA Before planting, the abandoned shrimp pond was prepared by reopening the obstructing banks on all sides using heavy machineryNA This increased greatly the frequency of tidal floodingNA The seedlings of 4 different mangrove species were planted at a spacing of 1NA5 x 1NA5 m across an area of 6,525 m2NA In total, 800 seedlings of Rhizophora mucronata, Rhizophora apiculata and Ceriops tagal, and 500 seedlings of Bruguiera cylindrica were plantedNA","Habitat conversion, hydrological restoration, planting",Bruguiera cylindrica,"Thong Nian sub-district, Khanom district, Nakorn Sri
Thammarat province",Thailand,THA,developing,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,yes,"The research works described in this paper was undertaken as a part of Joint Research Project that had been conducted among Department of Marine and Coastal Resources (DMCR), Thailand, Kansai Electric Power CoNA, IncNA and Kanso Technos CoNA, LtdNA from 1998 to 2007NA We would like to thank all staffs of Mangrove Resources Research & Development Station NrNA 6, DMCR for their hard work in the fieldNA",1,0NA653,NA,1999.00,NA,NA,NA,NA,"High survival rates were observed in Rhizophora mucronata, Rhizophora apiculata and Bruguiera cylindrica but low in Ceriops tagalNA",82NA5,NA,,
21,80,"Matsui N, Suekuni J, Nogami M, Havanond S, Salikul P (2010) Mangrove rehabilitation dynamics and soil organic carbon changes as a result of full hydraulic restoration and re-grading of a previously intensively managed shrimp pondNA Wetl Ecol Manag 18:233-242",journal,2010,1999-2005,NA,primary,"After several failing attempts by the local villagers to replant mangroves due to the changed hydraulic conditions, a study was carried out on an abandoned, formerly intensively managed shrimp pondNA Before planting, the abandoned shrimp pond was prepared by reopening the obstructing banks on all sides using heavy machineryNA This increased greatly the frequency of tidal floodingNA The seedlings of 4 different mangrove species were planted at a spacing of 1NA5 x 1NA5 m across an area of 6,525 m2NA In total, 800 seedlings of Rhizophora mucronata, Rhizophora apiculata and Ceriops tagal, and 500 seedlings of Bruguiera cylindrica were plantedNA","Habitat conversion, hydrological restoration, planting",Ceriops tagal,"Thong Nian sub-district, Khanom district, Nakorn Sri
Thammarat province",Thailand,THA,developing,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,yes,"The research works described in this paper was undertaken as a part of Joint Research Project that had been conducted among Department of Marine and Coastal Resources (DMCR), Thailand, Kansai Electric Power CoNA, IncNA and Kanso Technos CoNA, LtdNA from 1998 to 2007NA We would like to thank all staffs of Mangrove Resources Research & Development Station NrNA 6, DMCR for their hard work in the fieldNA",1,0NA653,NA,1999.00,NA,NA,NA,NA,"High survival rates were observed in Rhizophora mucronata, Rhizophora apiculata and Bruguiera cylindrica but low in Ceriops tagalNA",44NA4,NA,,
22,81,Milano G (1999) Restoration of coastal wetlands in southeastern FloridaNA Wetl J 11:15–24,journal,1999,NA,NA,primary,Review of 10 coastal wetland restoration projects that restored caNA 121NA5 ha of wetlandsNA,NA,"Rhizophora mangle, Avicennia germinans, Laguncularia racemosa and various salt marshesNA","Miami-Dade County, southeastern Florida",USA,USA,developed,Four wetland communities have been successfully established utilizing cost-effective techniques at 10 coastal sites in Miami-Dade County at a total cost of 6NA7 million dollarsNA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121NA5,6700000.00,1998.00,55144.00,73766.00,73766.00,73766.00,"Planting sites are considered highly successful if
they have an overall 80% planting survival rateNA",80,NA,,
22,82,Milano G (1999) Restoration of coastal wetlands in southeastern FloridaNA Wetl J 11:15–24,journal,1999,1996,NA,primary,"Selective clearing of 4 acres, excavating 41,600 cubic yards of dredge spoil material, planting 10 acres of mangroves, 6NA2 acres of high salt marsh, 2NA8 acre tidally flushed pond, installing 0NA5 acre fresh/brackish water pond, a network of inter-tidal flushing creeksNA",Hydrological restoration - facilitation of a natural recovery,"Acrostichum aureum, Juncus roemerianus, Annona glabra Laguncularia racemosa, Avicennia germinans Rhizophora mangle, Batis maritime, Scirpus validus, Borrichia fructescens, Sesuvium portulacastrum, Cladium jamaicensis, Spartina bakeri, Conocarpus erectus, Spartina spartinae, Distichilis spicata, Sporobolus virginicus, Eleocharis cellulose, Suriana maritima","North end of Key Biscayne, Florida",USA,USA,developed,"Selective clearing of 4 acres, excavating 41,600 cubic yards of dredge spoil material, planting 10 acres of mangroves, 6NA2 acres of high salt marsh, 2NA8 acre tidally flushed pond, installing 0NA5 acre fresh/brackish water pond, a network of inter-tidal flushing creeksNA",NA,yes,NA,NA,yes,NA,yes,NA,NA,NA,"Funding (% matching): Miami-Dade Water & Sewer (WASA) (95%), Biscayne Bay
Environmental Enhancement Trust Fund (BBEETF) (5%)NA",NA,8NA701,800000.00,1996.00,91946.00,127825.00,127825.00,127825.00,NA,NA,Restoration of various wetland communitiesNA,,
22,83,Milano G (1999) Restoration of coastal wetlands in southeastern FloridaNA Wetl J 11:15–24,journal,1999,1999,NA,primary,"Clearing exotic vegetation, removing 30,000 cubic yards of solid waste, removing 600,000 cubic yards of dredge spoil material, creating 75 acre of tidally connected mangrove wetlands, installing 3 major flushing connections and culvert connection, installing a network of inter-tidal flushing creeks, creating 10 acres of freshwater isolated wetlandsNA",Hydrological restoration - facilitation of a natural recovery,"Acrostichum danaefolium, Baccharis spNA, Eleocharis cellulose, Borrichia fructescens, Rhizophora mangle, Cladium jamaicensis, Spartina bakeri","South end of Key Biscayne, Florida",USA,USA,developed,"Clearing exotic vegetation, removing 30,000 cubic yards of solid waste, removing 600,000 cubic yards of dredge spoil material, creating 75 acre of tidally connected mangrove wetlands, installing 3 major flushing connections and culvert connection, installing a network of inter-tidal flushing creeks, creating 10 acres of freshwater isolated wetlandsNA",NA,yes,NA,NA,yes,NA,yes,NA,NA,NA,"Funding (% matching): BBEETF (37%), Florida Inland Navigation District (FIND) (12%),
South Florida Water Management District (SFWMD) (11%), WASA (10%), US DeptNA of
Agriculture Forest Service (34%), Village of Key Biscayne (3%)NA",NA,34NA398,2800000.00,1999.00,81399.00,106556.00,106556.00,106556.00,NA,NA,NA,,
